vendor,contracts,actions,total_amount,noncompetitive_amount,share_of_total,cumulative_share,noncompetitive_share
MICROSOFT CANADA,2,2,428817.27,396423.6,7e-05,0.97908,0.9245
FUTE MEDIA INC,1,1,426450.62,426450.62,7e-05,0.97915,1.0
ANTRIM WESTERN STAR,1,1,423955.4,0.0,7e-05,0.97922,0.0
MALROZ ENGINEERING INCORPORATED,8,8,422937.5,0.0,7e-05,0.97929,0.0
"DELCO AUTOMATION INC,CONVERGINT TECHNOLOGIES LTD,PALADIN TECHNOLOGIES INC",1,1,422810.0,0.0,7e-05,0.97936,0.0
BATTLESHIELD INDUSTRIES LIMITED,5,5,421523.68,53548.83,7e-05,0.97943,0.127
"WARNOCK EQUIPMENT SERVICES LTD,ROBERT GOURLAY CARTAGE,JOSH LASALLE CONSTRUCTION,MASONRY & HEAVY EQUIPMENT (2720583 ONTARIO INC),BRIAN C MILLER EQUIPMENT RENTALS(1763076 CANADA INC)",1,1,420925.0,0.0,7e-05,0.9795,0.0
KOMUTEL CANADA INC.,1,1,420600.0,420600.0,7e-05,0.97957,1.0
GALLIVAN DEVELOPMENT INC,2,2,419660.68,0.0,7e-05,0.97964,0.0
NANOS RESEARCH,5,6,419154.0,97185.0,7e-05,0.97971,0.2319
FLOVAL EQUIPMENT LTD,4,4,417781.0,392351.0,7e-05,0.97978,0.9391
KEYNOTE GROUP INC,7,7,415904.34,0.0,7e-05,0.97985,0.0
NAVPOINT CONSULTING GROUP INC,4,5,415745.42,0.0,7e-05,0.97992,0.0
PALAZZANI USA,1,1,414589.8,414589.8,7e-05,0.97999,1.0
GANNON BLACKBURN ELECTRIC INC,2,2,412207.59,0.0,7e-05,0.98006,0.0
A.W. HOOKER ASSOCIATES LTD.,4,7,411200.0,0.0,7e-05,0.98013,0.0
NEDERMAN CANADA LIMITED,3,3,406980.29,406980.29,7e-05,0.9802,1.0
SIMPSON GUMPERTZ & HEGER INC,8,8,405517.2,405517.2,7e-05,0.98027,1.0
COLD FIRE CANADA LTD,1,1,403859.36,403859.36,7e-05,0.98034,1.0
1146592 S AND L WASTETECH,7,7,402915.0,402915.0,7e-05,0.98041,1.0
"TAILLEFER PLUMBING AND HEATING,BLACK AND MCDONALD LTD,EASTERN WELDING",1,1,400000.0,0.0,7e-05,0.98048,0.0
"AQUA DRAIN SEWER SERVICES INC,CLEAN WATER WORKS INC",1,2,398833.33,0.0,7e-05,0.98055,0.0
OTTAWA COMPRESSOR SERVICES,2,2,394501.0,0.0,7e-05,0.98062,0.0
LIV NORTH INC,1,1,394420.0,0.0,7e-05,0.98069,0.0
STINSON EQUIPMENT LTD,5,5,393521.97,39936.97,7e-05,0.98076,0.1015
CANAAN INC,1,1,391960.0,391960.0,7e-05,0.98083,1.0
TULLOCH GEOMATICS INC,7,7,390584.46,0.0,7e-05,0.9809,0.0
SEWE CONSTRUCTION INC.,8,8,388550.4,0.0,7e-05,0.98097,0.0
RAVEN CHEMICALS INC,2,3,387362.2,0.0,6e-05,0.98103,0.0
"MOUNTAINVIEW TURF FARM LTD,RESIDEX CANADA INC.",1,1,386540.0,0.0,6e-05,0.98109,0.0
PRICE WATERHOUSE COOPERS LLP,4,5,383386.51,131953.0,6e-05,0.98115,0.3442
KURTIS ARMSTRONG CONTRACTING INC,2,2,380255.82,0.0,6e-05,0.98121,0.0
S & R MECHANICAL,1,1,376640.0,0.0,6e-05,0.98127,0.0
TOTAL INSTANT LAWNS LTD,3,3,375630.47,0.0,6e-05,0.98133,0.0
WELMAR RECREATIONAL PRODUCTS,1,1,375572.0,0.0,6e-05,0.98139,0.0
"GREEN WORKS CONTRACTING INC,WEBBER INFRASTRUCTURE MANAGEMENT CA",1,1,375000.0,0.0,6e-05,0.98145,0.0
BIOMASS RE-CYCLE CANADA INC,1,2,374464.5,0.0,6e-05,0.98151,0.0
ALLIANCE TECHNOLOGIES,1,1,372273.24,0.0,6e-05,0.98157,0.0
"AQUA DRAIN SEWER SERVICES INC,BADGER DAYLIGHTING LP,CLEAN WATER WORKS INC,HYDROCAM,LAURENT LEBLANC LIMITED,NORRIS CONSTRUCTION MANAGEMENT INC",1,1,369730.78,0.0,6e-05,0.98163,0.0
TERRAPEX ENVIRONMENTAL LTD,8,8,369478.3,0.0,6e-05,0.98169,0.0
FOTENN CONSULTANTS INC,3,5,368943.5,292303.5,6e-05,0.98175,0.7923
TYCO INTEGRATED FIRE & SECURITY,2,2,367603.7,367603.7,6e-05,0.98181,1.0
AQUATIC INFORMATICS INC.,2,3,366816.93,231679.28,6e-05,0.98187,0.6316
AMOR CONSTRUCTION,3,4,365963.88,0.0,6e-05,0.98193,0.0
ALFA LAVAL INC,4,4,364971.84,364971.84,6e-05,0.98199,1.0
DEVELOTECH INC,1,1,362095.97,0.0,6e-05,0.98205,0.0
MAXIMUM RENOVATION ETC,3,3,361940.44,0.0,6e-05,0.98211,0.0
WESSUC INCORPORATED,2,2,361666.69,0.0,6e-05,0.98217,0.0
AET GROUP INC,2,2,358398.5,0.0,6e-05,0.98223,0.0
TRUE SERVICES INC.,1,1,356248.1,0.0,6e-05,0.98229,0.0
"PERRY O'GRADY CONTRACTING,J B FOREST PRODUCTS LTD",2,2,352942.49,0.0,6e-05,0.98235,0.0
CUTRIC CRITUC CANADIAN URBAN TRANSIT,1,1,351717.3,351717.3,6e-05,0.98241,1.0
HERC RENTALS,1,1,351336.56,0.0,6e-05,0.98247,0.0
A/C MECHANICAL REFRIGERATION LTD,1,1,350783.24,0.0,6e-05,0.98253,0.0
GERRY CREPIN CARTAGE LTD,2,2,350579.9,0.0,6e-05,0.98259,0.0
REDFLEX TRAFFIC SYSTEMS INC,1,1,347000.0,0.0,6e-05,0.98265,0.0
WORKPLACE MEDICAL CORP,2,2,346725.0,39375.0,6e-05,0.98271,0.1136
ENVIRONICS ANALYTICS GROUP LTD,2,2,343225.5,343225.5,6e-05,0.98277,1.0
BROUCO SERVICES INC,1,2,340563.16,0.0,6e-05,0.98283,0.0
HEMSON CONSULTING LTD,2,2,339860.0,0.0,6e-05,0.98289,0.0
BP&M GOVERNMENT IM & IT CONSULTING,2,3,336415.0,0.0,6e-05,0.98295,0.0
MUNICIPAL GOVERNMENT WAYFINDERS LTD,3,3,336400.0,336400.0,6e-05,0.98301,1.0
ALBEC PAINTING AND COATINGS INC,1,1,336150.0,0.0,6e-05,0.98307,0.0
GOODKEY WEEDMARK AND ASSOCIATES LTD,4,4,334868.95,0.0,6e-05,0.98313,0.0
FLENDER CORPORATION CANADA BRANCH,1,1,334540.0,334540.0,6e-05,0.98319,1.0
"PRECISION DIESEL,B AND T MACFARLANE OTTAWA LTD,TOROMONT CAT POWER SYSTEMS",1,1,332360.2,0.0,6e-05,0.98325,0.0
ITRON CANADA INC LE,1,2,331567.4,0.0,6e-05,0.98331,0.0
PREDATOR BIRD SERVICES INC,1,3,330970.0,0.0,6e-05,0.98337,0.0
STUDIO RED LANDSCAPE,6,6,330244.5,0.0,6e-05,0.98343,0.0
DISTRESS CENTRE OF OTTAWA,3,4,330000.0,330000.0,6e-05,0.98349,1.0
ARCHITECTURE49 INC,1,2,329580.0,0.0,6e-05,0.98355,0.0
BIRCON CANADA LTD,2,2,329066.1,0.0,6e-05,0.98361,0.0
R.A. MALATEST AND ASSOCIATES LTD,3,3,328528.39,79177.55,6e-05,0.98367,0.241
CLIMATIVE INC,1,1,328502.0,0.0,6e-05,0.98373,0.0
COMOTECH CONTROLS,3,3,327460.6,296614.85,5e-05,0.98378,0.9058
"DAVEY TREE EXPERT CO OF CANADA LTD,VS LANDSCAPE GROUP, WRIGHT TREE SERVICE (2672615 ONTARIO INC)",1,1,326719.17,0.0,5e-05,0.98383,0.0
WESTBURNE / REXEL,3,3,324564.47,324564.47,5e-05,0.98388,1.0
AIRBORNE IMAGING INC.,2,2,324280.09,0.0,5e-05,0.98393,0.0
HERTZ/ SURGENOR NATIONAL LEASING,2,4,323946.8,168392.0,5e-05,0.98398,0.5198
A & G THE ROAD CLEANERS LTD,1,1,320600.0,0.0,5e-05,0.98403,0.0
BRUCE MECHANICAL LTD,1,1,318939.5,0.0,5e-05,0.98408,0.0
POLARIS INFLATABLE BOATS,1,1,318398.0,0.0,5e-05,0.98413,0.0
TECHMIX,1,1,317876.87,0.0,5e-05,0.98418,0.0
ARCADIS CANADA INC,4,4,315574.83,0.0,5e-05,0.98423,0.0
"ASL AGRODRAIN LIMITED,KURTIS ARMSTRONG CONTRACTING INC",2,3,312545.5,0.0,5e-05,0.98428,0.0
STERICYCLE ULC,2,2,312399.8,0.0,5e-05,0.98433,0.0
LIFELABS LP,2,2,312087.37,0.0,5e-05,0.98438,0.0
VAN'S PRESSURE CLEANING LIMITED,3,4,311227.94,0.0,5e-05,0.98443,0.0
GENERAL CONTRACTORS RAYMOND,1,1,306603.0,0.0,5e-05,0.98448,0.0
AUTOMATED LOGIC CANADA LTD,4,4,305660.0,305660.0,5e-05,0.98453,1.0
D ROCK PAVING (2618018 ONTARIO INC),1,1,304890.1,0.0,5e-05,0.98458,0.0
VEOLIA ES CANADA,1,2,303800.0,0.0,5e-05,0.98463,0.0
ENGLOBE CORP,2,2,303555.92,0.0,5e-05,0.98468,0.0
MCASPHALT INDUSTRIES LTD,1,2,301218.29,301218.29,5e-05,0.98473,1.0
"A & B PAVING CORP,CONCORDIA PAVING (2013) LTD,IN DEPTH CONTRACTING,STRADA CONSTRUCTION GROUP INC.",1,1,300283.2,0.0,5e-05,0.98478,0.0
"SEWE CONSTRUCTION SERVICES,A ROHLING CONSTRUCTION SERVICES INC,XPERTEK CONSTRUCTION 2004 INC,RC BUILDERS INC",1,1,300000.0,0.0,5e-05,0.98483,0.0
"AECOM CANADA ULC, AINLEY GRAHAM & ASSOCIATES LIMITED, ARCADIS PROF. SERVICES (CANADA) INC./ARCADIS ARCHITECTS (CANADA) INC., CIMA CANADA INC., CIMA CANADA INC., DILLON CONSULTING LIMITED, EGIS CANADA, ENGLOBE CORP., EXP SERVICES INC., GHD LIMITED, GHEC, GHEC, HDR CORPORATION, J.L. RICHARDS & ASSOCIATES LTD, KGS GROUP, MOBYCON, NOVATECH ENGINEERING CONSULTANTS LTD., PARSONS INC., R.A. MALATEST & ASSOCIATES LTD., R.V. ANDERSON ASSOCIATES LTD., RIDESHARK CORPORATION, ROBINSON CONSULTANTS INC., STANTEC CONSULTING LTD., TRUE NORTH SAFETY GROUP, WSP CANADA INC.",1,1,300000.0,0.0,5e-05,0.98488,0.0
B AND N TRANSMISSION,1,1,300000.0,0.0,5e-05,0.98493,0.0
PRICE WATERHOUSE COOPER LLP,3,3,299621.59,43395.0,5e-05,0.98498,0.1448
JANET LEBLANC + ASSOCIATES,3,4,299004.0,0.0,5e-05,0.98503,0.0
JOHN G COOKE AND ASSOCIATES LTD,5,6,296848.6,0.0,5e-05,0.98508,0.0
ONTARIO BOLLARDS INC,1,1,296699.0,296699.0,5e-05,0.98513,1.0
RYBARK SOLUTIONS INC.,1,1,293377.09,0.0,5e-05,0.98518,0.0
CENTRALSQUARE CANADA SOFTWARE INC,1,4,293201.64,293201.64,5e-05,0.98523,1.0
"TOP GRAPHICS DESIGN INC,FIVE STAR ENTERPRISES OF CANADA LTD",1,1,290984.4,0.0,5e-05,0.98528,0.0
ODGERS BERNDTSON CANADA INC.,5,5,290864.5,0.0,5e-05,0.98533,0.0
JOHNSONS ENVIRONMENTAL PRODUCTS INC,1,2,290000.0,0.0,5e-05,0.98538,0.0
CANADIAN FEDERAL CORP (7956363 CANADA INC),3,3,289879.0,289879.0,5e-05,0.98543,1.0
"MYERS-ORLEANS CHEV-BUICK-GMC,SURGENOR CHEVROLET BUICK GMC & CADILLAC OTTAWA",1,1,289082.1,0.0,5e-05,0.98548,0.0
MULTILEK 1991 INC,2,3,288500.0,288500.0,5e-05,0.98553,1.0
HENRY SCHEIN CANADA INC,1,1,288057.0,0.0,5e-05,0.98558,0.0
HORIZANT INC,2,2,287776.0,287776.0,5e-05,0.98563,1.0
BRYAN'S APPLIANCE RECYCLING PLANT,1,1,287473.0,287473.0,5e-05,0.98568,1.0
BROWN'S CLEANERS AND TAILOR LTD,3,3,283575.75,0.0,5e-05,0.98573,0.0
ACQUIA INC,1,2,283440.15,283440.15,5e-05,0.98578,1.0
"MYERS CHEV OLDS CADILLAC INC.,NEW FLYER INDUSTRIES,KENWORTH ONTARIO,CITY VIEW BUS SALES & SERVICE LTD.,PREVOST CAR INC,RUSH TRUCK CENTRE OF CANADA LIMITED,JIM KEAY,EASTWAY COLLISION,DONNELLY FLEET AND",1,1,283333.0,0.0,5e-05,0.98583,0.0
SOLIDCAD SOLUTIONS,1,1,283193.4,0.0,5e-05,0.98588,0.0
"J W BASTIAN CONTRACTING INC, WRIGHT TREE SERVICE(2672615 ONTARIO INC),MAXIMUM RENOVATION ETC",1,1,280118.37,0.0,5e-05,0.98593,0.0
NOVAQUIP LIFTING SYSTEMS INC,2,2,280040.07,280040.07,5e-05,0.98598,1.0
MUSCO SPORTS LIGHTING CA CO,1,1,280000.0,280000.0,5e-05,0.98603,1.0
CANADA'S BIG TRUCK RENTAL (0962667 BC LTD),1,2,280000.0,280000.0,5e-05,0.98608,1.0
TURF CARE PRODUCTS CANADA LTD,4,4,279941.28,0.0,5e-05,0.98613,0.0
TENAQUIP LIMITED,3,3,277075.48,0.0,5e-05,0.98618,0.0
WILLIAMS SCOTSMAN OF CANADA B9326,2,2,276116.59,0.0,5e-05,0.98623,0.0
DANWILL CONTRACTING,5,5,272672.24,0.0,5e-05,0.98628,0.0
MISSION SYSTEMS,1,3,272638.0,272638.0,5e-05,0.98633,1.0
GOLDER ASSOCIATES LTD,1,1,271869.8,0.0,5e-05,0.98638,0.0
"B AND T MACFARLANE OTTAWA LTD,COLVOY ENTERPRISES 2012 LTD",1,1,271403.41,0.0,5e-05,0.98643,0.0
Various,1,1,270833.0,0.0,5e-05,0.98648,0.0
LINKEDIN IRELAND UNLIMITED COMPANY,1,1,268927.69,268927.69,5e-05,0.98653,1.0
MADDISON CONSTRUCTION LTD.,2,2,268714.0,0.0,5e-05,0.98658,0.0
URBANTYPOLOGY INC.,3,3,268606.38,0.0,4e-05,0.98662,0.0
CAPITAL CONTROLS & INSTRUMENTATION,2,2,268243.01,0.0,4e-05,0.98666,0.0
"COOPER HILL LANDSCAPING INC,JAKE'S LAWN CARE,MAXIMUM RENOVATION ETC,P MUNRO GROUP INC.",1,1,268086.17,0.0,4e-05,0.9867,0.0
CANCORE INDUSTRIES INC,1,1,267152.0,0.0,4e-05,0.98674,0.0
RETROFIT SOLUTIONS INC,3,3,266677.0,0.0,4e-05,0.98678,0.0
MERCER HUMAN RESOURCE CONSULTING,1,3,266347.0,0.0,4e-05,0.98682,0.0
PYE AND RICHARDS ARCHITECTS INC,1,1,265699.82,0.0,4e-05,0.98686,0.0
CBCL LIMITED,3,3,265246.1,0.0,4e-05,0.9869,0.0
WARNOCK EQUIPMENT SERVICES LTD,1,2,263502.67,0.0,4e-05,0.98694,0.0
"OTTAWA D SQUARED CONSTRUCTION LTD,A & B PAVING CORP,CONCORDIA PAVING (2013) LTD",1,1,262945.65,0.0,4e-05,0.98698,0.0
NEW FLYER INDUSTRIES CANADA ULC,1,1,262501.87,0.0,4e-05,0.98702,0.0
"FALCON SECURITY SERVICES, XTREME SECURITY INC., HYDRA SECURITY, ARMOUR SECURITY AND PROTECTION SERVICES, SECURITY GUARD GROUP LIMITED, S2 PROTECTIVE SERVICES, IRON HORSE SECURITY, PALADIN SECURITY GROUP LTD., SYNERGY PROTECTION GROUP INC., VALGUARD SECURITY INC., ALLIED UNIVERSAL SECURITY SERVICES OF CANADA, OTTAWA DIVISION THE COMMISSIONAIRES",1,1,262335.84,0.0,4e-05,0.98706,0.0
"HENRY SCHEIN CANADA, INC",1,1,262206.07,0.0,4e-05,0.9871,0.0
SEASONOVA GROUP INC,2,2,261600.0,261600.0,4e-05,0.98714,1.0
MISTER CHEMICAL LTD,1,1,260942.9,0.0,4e-05,0.98718,0.0
CUTBACK TERMINAL LTD,1,1,260788.0,0.0,4e-05,0.98722,0.0
"FLYNN CANADA LTD,GRIZZLIE GLASS,HONEY GLASS AND WINDOW LTD",1,1,260000.0,0.0,4e-05,0.98726,0.0
THE DOOR COMPANY,4,4,258236.3,0.0,4e-05,0.9873,0.0
AULT INDUSTRIES INC,2,2,258090.0,123090.0,4e-05,0.98734,0.4769
DBM SOLUTIONS INC,1,1,256500.0,0.0,4e-05,0.98738,0.0
CHRISTIE LITES SALES LTD,4,4,256335.0,171677.0,4e-05,0.98742,0.6697
TAILLEFER PLUMBING AND HEATING,3,3,256313.83,0.0,4e-05,0.98746,0.0
KASTER AND COMPANY,8,8,255022.08,0.0,4e-05,0.9875,0.0
SFI MEDICAL EQUIPMENT SOLUTIONS INC,1,1,253628.89,0.0,4e-05,0.98754,0.0
"GRAY SMITH DOUGLAS & CO, CUSTOMER SERVICE PROFESSIONAL NETWORK",1,1,251404.4,0.0,4e-05,0.98758,0.0
"PENINSULA CONSTRUCTION INC,HUGHSON FENCING GUIDERAIL (535276 ONTARIO INC)",1,1,250000.0,0.0,4e-05,0.98762,0.0
JAKE'S LAWN CARE,1,1,249823.85,0.0,4e-05,0.98766,0.0
GHD DIGITAL (CANADA) LIMITED,1,1,249273.0,0.0,4e-05,0.9877,0.0
ALTA PLANNING & DESIGN CANADA INC,2,2,248884.25,0.0,4e-05,0.98774,0.0
ADVANCEMENT RESOURCES COUNSEL INC.,1,1,248750.0,0.0,4e-05,0.98778,0.0
POWERPLAN CANADA ULC,1,2,245491.48,245491.48,4e-05,0.98782,1.0
COOPER HILL LANDSCAPING INC,1,1,244700.0,0.0,4e-05,0.98786,0.0
WATER AND ICE NORTH AMERICA INC.,3,3,244332.0,186832.0,4e-05,0.9879,0.7647
ZIYUTEC INC.,2,2,243840.0,0.0,4e-05,0.98794,0.0
ALTEC INDUSTRIES LTD,2,2,242750.0,242750.0,4e-05,0.98798,1.0
AGILENT TECHNOLOGIES CANADA INC,3,3,242473.75,104809.68,4e-05,0.98802,0.4323
RESCUE CANADA RESOURCE GRO,1,1,242219.2,0.0,4e-05,0.98806,0.0
EPOKE NORTH AMERICA INC,1,1,241780.0,0.0,4e-05,0.9881,0.0
TRANE CANADA ULC T42324C,3,3,241534.3,193186.78,4e-05,0.98814,0.7998
FRONTLINE MACHINERY LTD,1,1,240091.97,240091.97,4e-05,0.98818,1.0
"SIGNS.CA VISUAL COMMUNICATION,STUDIO SIGNS",1,1,240000.0,0.0,4e-05,0.98822,0.0
GREEN INFRASTRUCTURE PARTNERS INC,1,1,238195.1,0.0,4e-05,0.98826,0.0
RDC GROUP,2,2,236035.66,0.0,4e-05,0.9883,0.0
MILLBROOK TACTICAL INC,1,1,235467.5,235467.5,4e-05,0.98834,1.0
"ALLIANCE TOWING (1948256 ONTARIO INC),GERVAIS MOTORS LIMITED,ABRAMS TOWING (1512081 ONTARIO LTD),ETS EXPRESS TOWING SERVICE CORP,CANADIAN TOWING (2695885 ONTARIO",1,1,235000.0,0.0,4e-05,0.98838,0.0
"ALLIANCE TOWING (1948256 ONTARIO INC),GERVAIS MOTORS LIMITED,ABRAMS TOWING (1512081 ONTARIO LTD),ETS EXPRESS TOWING SERVICE CORP,CANADIAN TOWING (2695885 ONTARIO INC),MAYDAY TOWING (9376-6491 QUEBEC INC),SCRAP MY CAR INC (9755373 CANADA INC)",1,1,235000.0,0.0,4e-05,0.98842,0.0
DBA TRANSIT (9280-0366 QUEBEC INC.),1,1,233794.0,233794.0,4e-05,0.98846,1.0
ATHLETICA SPORT SYSTEMS INC,1,1,233098.68,0.0,4e-05,0.9885,0.0
TLC EXTERIORS (10504408 CANADA INC ),1,1,230981.17,0.0,4e-05,0.98854,0.0
LINK UTILITY TECHNOLOGIES INC,2,3,230262.5,230262.5,4e-05,0.98858,1.0
FRECO FLUID POWER INC,1,1,227931.1,0.0,4e-05,0.98862,0.0
"ALTERNACARE INC,COMFORT KEEPERS,GEM HEALTH CARE,PARAMED HOME HEALTH CARE,SECOND FAMILY CARE,VHA HOME HEALTHCARE",1,1,227722.5,0.0,4e-05,0.98866,0.0
CONTEXT RESEARCH GROUP,1,2,227375.0,227375.0,4e-05,0.9887,1.0
CBM N A INC,1,2,225718.16,0.0,4e-05,0.98874,0.0
CATHCART MECHANICAL PERFORMANCE INC,4,4,225480.99,0.0,4e-05,0.98878,0.0
MORSE CANADA SYSTEMS INC,2,2,225168.55,225168.55,4e-05,0.98882,1.0
SEB ADMINISTRATIVE SERVICES INC,1,1,224825.3,0.0,4e-05,0.98886,0.0
SOLUTIONS SERAFIN INC,6,6,224480.0,0.0,4e-05,0.9889,0.0
DIRECT CONSTRUCTION COMPANY LIMITED,3,3,224121.5,0.0,4e-05,0.98894,0.0
BRITT CONSTRUCTION (1649330 ONTARIO INC),4,4,223511.71,0.0,4e-05,0.98898,0.0
DOTMAR FITNESS EQUIPMENT INC; FDF GROUP,1,1,223227.7,0.0,4e-05,0.98902,0.0
"MISTER CHEMICAL LTD,HAWTHORNE CLEANING SYSTEMS LTD,SWISH MAINTENANCE LIMITED",1,1,221580.0,0.0,4e-05,0.98906,0.0
CONSORTECH,2,3,220480.0,220480.0,4e-05,0.9891,1.0
BEDARD ELECTRIC INC,1,1,218350.0,0.0,4e-05,0.98914,0.0
CUES CANADA INC,3,3,217110.13,217110.13,4e-05,0.98918,1.0
FALCON SECURITY INC,1,1,215835.8,0.0,4e-05,0.98922,0.0
"PARACEL LABORATORIES LTD,ALS CANADA LTD",1,1,215559.2,0.0,4e-05,0.98926,0.0
HOGAN ROY & ASSOCIATES INC,2,2,215380.0,215380.0,4e-05,0.9893,1.0
TRUE NORTH SAFETY GROUP,3,3,214252.5,0.0,4e-05,0.98934,0.0
"MORRISON HERSHFIELD,STANTEC CONSULTING LTD",1,1,213587.33,0.0,4e-05,0.98938,0.0
SLR CONSULTING CANADA LTD,3,3,213457.27,0.0,4e-05,0.98942,0.0
JOHNSONS ENVIROPROD INC,5,5,212738.0,0.0,4e-05,0.98946,0.0
STANTEC GEOMATICS LTD,6,6,212383.1,0.0,4e-05,0.9895,0.0
CANADA TRAINING GROUP,2,2,212118.3,212118.3,4e-05,0.98954,1.0
CAPITAL BACKFLOW CORP,4,4,211291.85,0.0,4e-05,0.98958,0.0
GODFREY ROOFING INC,2,2,210060.7,0.0,4e-05,0.98962,0.0
ELITE ENVIRONMENTAL GROUP,1,1,208200.3,0.0,3e-05,0.98965,0.0
COURVAL SCHEDULING INC,2,3,208142.0,208142.0,3e-05,0.98968,1.0
CANADA DIVISION CARBON ACTIVATED,1,1,208088.0,0.0,3e-05,0.98971,0.0
ALDEA ENGINEERING AND CONSULTING LT,1,1,208037.5,208037.5,3e-05,0.98974,1.0
REMCON CORPORATION,2,3,208000.0,208000.0,3e-05,0.98977,1.0
"DSS PROTECTION,MAPLE LEAF ROPES",1,1,206338.0,0.0,3e-05,0.9898,0.0
INFODEV INC,1,3,205762.0,205762.0,3e-05,0.98983,1.0
DIRECTRIK INC,5,5,205289.53,205289.53,3e-05,0.98986,1.0
"GEO W DRUMMOND LTD,GERRY CREPIN CARTAGE LTD",1,1,205135.0,0.0,3e-05,0.98989,0.0
UBA INC.,1,3,204873.07,0.0,3e-05,0.98992,0.0
WSG AND SOLUTIONS INC,3,3,203314.23,203314.23,3e-05,0.98995,1.0
RECTEC MANAGEMENT GROUP INC,1,1,201351.7,201351.7,3e-05,0.98998,1.0
COMPLIANCE365 INC,1,1,200000.0,0.0,3e-05,0.99001,0.0
"ACKLANDS GRAINGER INC,OTTAWA FASTENER SUPPLY LTD,PRESTON HARDWARE LIMITED,HOME HARDWARE STORES LIMITED,HOME DEPOT",1,1,200000.0,0.0,3e-05,0.99004,0.0
"INVESTIGATIVE SOLUTIONS NETWORK INC,SUSAN HENDERSHOT",1,1,200000.0,0.0,3e-05,0.99007,0.0
911 SUPPLY ADVENTURE GEAR CANADA,2,2,199386.19,0.0,3e-05,0.9901,0.0
FLOWERPOINT ENVIRONMENTAL SYSTEMS,1,1,198290.09,198290.09,3e-05,0.99013,1.0
XYLEM,3,3,197795.51,32627.0,3e-05,0.99016,0.165
SGS LAKEFIELD RESEARCH LTD,1,1,197790.0,0.0,3e-05,0.99019,0.0
AQUATIC INFORMATICS ULC,3,3,196842.0,165107.0,3e-05,0.99022,0.8388
KDS PROFESSIONAL CONSULTING,1,1,196198.24,0.0,3e-05,0.99025,0.0
SNETSINGER CONSULTANTS LTD,4,4,194727.5,0.0,3e-05,0.99028,0.0
SIEMENS CANADA LTD,1,1,194090.0,194090.0,3e-05,0.99031,1.0
SIGNS.CA (1230372 ONTARIO INC),3,3,194035.0,194035.0,3e-05,0.99034,1.0
DAVE WRIGHT EXCAVATING LTD,3,3,194011.55,0.0,3e-05,0.99037,0.0
"BYTOWN LOCK INC,CANADIAN LOCK & SUPPLY LTD,CITY LOCKSMITH LOCK & KEY SERVICE I,NEPEAN KANATA LOCK AND DOOR SERVICE",1,1,193826.25,0.0,3e-05,0.9904,0.0
EQUIPEMENTS HALT INC,3,3,193741.65,0.0,3e-05,0.99043,0.0
URBAN TACTICAL LTD,1,1,193228.22,0.0,3e-05,0.99046,0.0
URBANTYPOLOGY INC,3,3,192777.1,0.0,3e-05,0.99049,0.0
E-SAFE PEST CONTROL INC,1,1,192512.0,0.0,3e-05,0.99052,0.0
TUV RHEINLAND CANADA INC.,1,1,192290.0,0.0,3e-05,0.99055,0.0
"JAKE'S LAWN CARE,AL'S FENCING INC,B G GORHAM CONSTRUCTION,PRODIGY PROPERTY MAINTENANCE INC",1,1,191264.25,0.0,3e-05,0.99058,0.0
NIEWE CONSULTING LTD,4,4,190540.0,0.0,3e-05,0.99061,0.0
O D S MARINE,2,3,190136.17,0.0,3e-05,0.99064,0.0
M CON PRODUCTS INC,1,1,189000.0,0.0,3e-05,0.99067,0.0
MITEL NETWORKS CORPORATION,1,1,188737.99,188737.99,3e-05,0.9907,1.0
"MAURICE DESCHAMBAULT,RW TOMLINSON LTD",1,1,188660.0,0.0,3e-05,0.99073,0.0
ROBERT GOURLAY CARTAGE,2,2,187900.0,0.0,3e-05,0.99076,0.0
"IN DEPTH CONTRACTING,LDC PRECISION CONCRETE INC,P MUNRO GROUP INC.",1,1,187500.0,0.0,3e-05,0.99079,0.0
TERLIN CONSTRUCTION LTD,1,1,185000.0,0.0,3e-05,0.99082,0.0
TLC LANDSCAPING,1,1,184825.01,0.0,3e-05,0.99085,0.0
IMAGE MASONRY LTD O/A,1,1,184800.0,0.0,3e-05,0.99088,0.0
PROTHERM MECHANICAL CONTRACTING INC,3,3,184390.0,0.0,3e-05,0.99091,0.0
TROY ONTOR INC,3,3,184311.75,184311.75,3e-05,0.99094,1.0
RYSE SOLUTIONS ONTARIO INC,1,2,183880.0,183880.0,3e-05,0.99097,1.0
USD GLOBAL,1,1,183569.86,0.0,3e-05,0.991,0.0
ECO COUNTER INC,2,2,183079.77,183079.77,3e-05,0.99103,1.0
TRIPLE J CONTRACTING INC,1,1,182612.8,0.0,3e-05,0.99106,0.0
KSB PUMPS INC,2,2,182529.12,182529.12,3e-05,0.99109,1.0
DC GROUP CANADA INC,1,1,182348.11,0.0,3e-05,0.99112,0.0
QMR STAFFING SOLUTIONS INC,5,5,182298.66,0.0,3e-05,0.99115,0.0
MICHAEL WILLISON,1,1,182000.0,182000.0,3e-05,0.99118,1.0
HYDRATEK AND ASSOCIATES,2,2,181491.2,42506.2,3e-05,0.99121,0.2342
SWISH MAINTENANCE LIMITED,1,1,180609.0,0.0,3e-05,0.99124,0.0
MASTER REFRIGERATION,2,2,180380.57,150000.0,3e-05,0.99127,0.8316
