vendor,contracts,actions,total_amount,noncompetitive_amount,share_of_total,cumulative_share,noncompetitive_share
GIRO INC,5,9,4015615.5,2637662.5,0.00067,0.85823,0.6569
J C SULPHER CONSTRUCTION LTD,1,2,4005529.74,0.0,0.00067,0.8589,0.0
GARTNER CANADA CO,4,5,3913974.89,3913974.89,0.00066,0.85956,1.0
"ZONE TECH AIR CONDITIONING,PROTHERM MECHANICAL CONTRACTING INC,ASSOCIATE AIR MECHANICAL SYSTEMS,CORAL CANADA WIDE LTD",1,1,3896729.87,0.0,0.00065,0.86021,0.0
ROYAL CROWN CONSTRUCTION (2339366 ONTARIO INC.),5,6,3856138.47,0.0,0.00065,0.86086,0.0
AQUA DRAIN SEWER SERVICES INC,4,4,3851800.0,0.0,0.00065,0.86151,0.0
CIMCO REFRIGERATION,6,9,3841727.58,33565.0,0.00064,0.86215,0.0087
PARTS FOR TRUCKS INC,3,3,3788831.69,0.0,0.00063,0.86278,0.0
ESRI CANADA LIMITED,2,2,3758439.45,3758439.45,0.00063,0.86341,1.0
STRATHMAR TRENCHING LTD,8,8,3684482.89,0.0,0.00062,0.86403,0.0
KPMG LLP,8,9,3674190.7,342500.0,0.00062,0.86465,0.0932
"SYSTEM INNOVATORS, a div. of N. HARRIS COMPUTER CORP",1,1,3669762.5,0.0,0.00061,0.86526,0.0
ORACLE CANADA ULC,3,4,3631951.31,3631951.31,0.00061,0.86587,1.0
BRADLEY'S LANDSCAPING INC,5,6,3618540.15,1686406.5,0.00061,0.86648,0.466
RIDEAU RECOGNITION SOLUTIONS INC.,1,1,3600000.0,0.0,0.0006,0.86708,0.0
SURGENOR CHEVROLET BUICK GMC & CADILLAC OTTAWA,33,34,3578944.55,315582.0,0.0006,0.86768,0.0882
OTTAWA POOL WORKS,2,2,3573901.43,0.0,0.0006,0.86828,0.0
COUVREUR ROLLAND BOUDREAULT,6,7,3563172.45,0.0,0.0006,0.86888,0.0
BRENNTAG CANADA INC,3,4,3553590.14,0.0,0.0006,0.86948,0.0
MCINTOSH PERRY CONSULTING,27,27,3522873.71,0.0,0.00059,0.87007,0.0
J W BASTIAN CONTRACTING INC,3,3,3452540.02,60862.5,0.00058,0.87065,0.0176
KIK HOLDCO COMPANY INC,3,5,3449590.99,0.0,0.00058,0.87123,0.0
CONCENTRIC ASSOCIATES,40,45,3449204.57,0.0,0.00058,0.87181,0.0
HLS LINEN SERVICES,2,4,3447036.38,0.0,0.00058,0.87239,0.0
FERROVIAL SERVICES CANADA LTD,1,1,3431588.86,0.0,0.00057,0.87296,0.0
"A?1 CREDIT RECOVERY & COLLECTION,MJR CAPITAL SERVICES INC.,FINANCIAL DEBT RECOVERY LTD",1,1,3423921.31,0.0,0.00057,0.87353,0.0
COMPUTERTALK TECHNOLOGY INC,2,5,3401979.31,0.0,0.00057,0.8741,0.0
GIP CONSTRUCTION ENGINEERING CORP,3,3,3362009.65,0.0,0.00056,0.87466,0.0
INSA CORP,3,4,3327556.73,252321.98,0.00056,0.87522,0.0758
"IN DEPTH CONTRACTING,A & B PAVING CORP,STRADA CONSTRUCTION GROUP INC.",1,1,3300000.0,0.0,0.00055,0.87577,0.0
BLACK AND MCDONALD LTD,5,6,3280492.2,0.0,0.00055,0.87632,0.0
WILLOWGLEN SYSTEMS INC.,3,6,3247068.0,3247068.0,0.00054,0.87686,1.0
"DAY-VIEW ELECTRIC INC,LAMARCHE ELECTRIC INC.,POWER TEK ELECTRICAL SERVICES INC",1,1,3217260.0,0.0,0.00054,0.8774,0.0
MINDWIRE SYSTEMS LTD,6,7,3188251.3,1231365.0,0.00053,0.87793,0.3862
SURGENOR TRUCK CENTRE,4,4,3178442.78,62398.15,0.00053,0.87846,0.0196
"DUTCHMASTER NURSERIES LTD,HORTICO INC",1,1,3172177.0,0.0,0.00053,0.87899,0.0
ZAGROS PROPERTY MANAGEMENT INC,2,2,3151690.77,0.0,0.00053,0.87952,0.0
ARGUE CONSTRUCTION LTD,1,1,3146743.0,0.0,0.00053,0.88005,0.0
BUROVISION OTTAWA INC,15,15,3142897.64,2759590.7,0.00053,0.88058,0.878
CITY VIEW SPECIALTY VEHICLES INC.,2,2,3124798.64,0.0,0.00052,0.8811,0.0
"GUILLEVIN INTERNATIONAL,LUMEN,WESCO DISTRIBUTION CANADA INC,NEDCO",1,1,3102849.21,0.0,0.00052,0.88162,0.0
JEMCOR ELEVATING INC,6,6,3020566.25,0.0,0.00051,0.88213,0.0
SULCO CHEMICALS LIMITED,3,3,3013197.22,0.0,0.0005,0.88263,0.0
"ACTION CAR & TRUCK ACCESSORIES INC,TWIN EQUIPMENT LIMITED,GIN COR INDUSTRIES INC,DRIVE PRODUCTS INC",1,1,3000000.0,0.0,0.0005,0.88313,0.0
K&S KELLY TIRE SERVICE INC,1,1,3000000.0,0.0,0.0005,0.88363,0.0
"HUGHSON FENCING AND GUIDERAIL (535276 ONTARIO INC),TAMAX (1995653 ONTARIO INC),JARA SERVICES(1786137 ONTARIO INC),CTM SWEEPING CO,K. JOLY CONTRACTING,P MUNRO GROUP INC.,TRUELOCK INTERLOCK,LALONDE EQUIPMENT RENTAL(12872358 CANADA INC),GUTTERS TO GLORY SWEEPING CORP",1,1,3000000.0,0.0,0.0005,0.88413,0.0
WAJAX POWER SYSTEMS,3,3,2956218.54,2925218.54,0.0005,0.88463,0.9895
